,Team,Timestamp,Name,Match,Upper Attempts,Upper % Made,AUTO Upper Attempts,AUTO Upper Made,TELEOP Upper Attempts,TELEOP Upper Made,Lower Attempts,Lower % Made,AUTO Lower Attempts,AUTO Lower Made,TELEOP Lower Attempts,TELEOP Lower Made,TELEOP Cargo Shooting Comments,AUTO Taxied,END GAME Climb Rung,TELEOP Speed Rating,END GAME Time To Hang,TELEOP Cargo Cycle Time,DEFENSE Rating,DEFENSE Comments,PENALTIES Incurred,PENALTIES Comments,RELIABILITY Robot Broke,RELIABILITY Robot Stalled,RELIABILITY Comments,Additional Comments
0,1410,03-16-2022,MN,2022azfl,0,,0,0,0,0,0,,0,0,0,0,,False,Unknown ,Unknown,[],[],1,,False,,False,False,,
1,1410,03-19-2022,Chris,Qual 42,0,,0,0,0,0,1,100.0,1,1,0,0,,True,Unknown ,Fast,[16780],[],5,"Pushed bots around, prevented them from shooting.",False,,False,False,,Very defensive towards the end of Arizona North
2,1619,03-15-2022,Noreen,Okok-f2,9,77.8,2,1,7,6,0,,0,0,0,0,,True,Traversal ,Fast,[30724],[],1,,False,,False,False,,Dropped 1 ball
3,1619,03-15-2022,Chris,Final 2,7,71.4,1,1,6,4,0,,0,0,0,0,No,True,Traversal ,Fast,[9959],[16893],3,,False,,False,False,Reliable,
4,1619,03-15-2022,Noreen,Okok-f2,4,50.0,4,2,0,0,0,,0,0,0,0,,True,Unknown ,Unknown,[],"[14560, 25183]",1,,False,,False,False,,
5,1619,03-15-2022,Noreen,Okok-f1,14,64.3,4,1,10,8,0,,0,0,0,0,Went across the field to their hanger corner to shoot,True,Traversal ,Unknown,[20874],"[23715, 14659]",1,,False,,False,False,,
6,1619,03-15-2022,Chris,Final 1,14,85.7,5,3,9,9,0,,0,0,0,0,Only shoot from launch pad on their side of field,True,Unknown ,Fast,[18550],[28065],1,,False,,False,False,Reliable,
7,1619,03-15-2022,JB,2022okok-f1,14,64.3,4,1,10,8,0,,0,0,0,0,,True,Traversal ,Unknown,[14111],[],1,,False,,False,False,,
8,1619,03-16-2022,MN,2022okok-SF2,16,56.2,4,2,12,7,0,,0,0,0,0,Red launch pad. ,True,Traversal ,Fast,[19084],[9256],1,,False,,False,False,"Shooting power is good, accuracy is not. ",Defended by other team. 
9,1619,03-16-2022,JB,2022okok-sf1-2,16,68.8,4,3,12,8,0,,0,0,0,0,"Yes, at their launchpad as there were defenders on them.",True,Traversal ,Average ,[17607],[17885],1,,False,,False,False,,
10,1619,03-16-2022,JB,2022okok-sf1-1,17,76.5,4,3,13,10,0,,0,0,0,0,,True,Traversal ,Average ,[22923],[],1,,False,,False,False,,
11,2083,03-19-2022,Chris,Qual 43,0,,0,0,0,0,2,50.0,1,0,1,1,,True,Mid,Average ,[19040],[],3,,False,,False,False,,Didn't do much in terms of offense
12,2240,03-19-2022,Chris,Qual 40,2,0.0,2,0,0,0,6,83.3,0,0,6,5,,True,None,Average ,[35777],"[36019, 21650]",1,,False,,False,False,Somewhat reliable,"Just drove around hangar area, but never hung onto a rung."
13,2486,03-19-2022,Chris,Qual 45,8,62.5,2,0,6,5,1,0.0,0,0,1,0,From just behind the tarmac,True,None,Fast,[8059],"[14990, 25829]",1,,False,,False,False,Reliable,Shot almost exclusively for the upper hub
14,2945,03-19-2022,Chris,Qual 5,6,50.0,1,1,5,2,0,,0,0,0,0,From the red side,True,Mid,Average ,[21994],"[15536, 9176]",1,,False,,False,False,,"Really liked to shoot from really long range. (Namely, next to the red launch pad.)"
15,2945,03-19-2022,NG,Caph q65,1,100.0,1,1,0,0,0,,0,0,0,0,,True,Mid,Average ,[21641],[],3,"Looked like they were only playing defense, but they didn't seem very effective ",True,Blocking an opponent ,False,False,,
16,2945,03-19-2022,NG,Caph Qf3-1,1,100.0,1,1,0,0,0,,0,0,0,0,,True,None,Average ,[],[],3,Not always effective ,False,,False,False,,
17,2945,03-19-2022,NG,Caph Qf3-2,1,100.0,1,1,0,0,0,,0,0,0,0,,True,None,Average ,[],[],3,More effective at defense this match,False,,False,False,,Changed their auto routine from the previous match to move out of the way of 973 so 973 could make more auto shots
18,2945,03-19-2022,NG,Caph Q62,7,42.9,1,0,6,3,0,,0,0,0,0,Next to the hangar,True,Low,Average ,[5614],"[23089, 17982]",1,,False,,False,False,, Slow speed when trying to pick up balls
19,2945,03-20-2022,NG,Caph q58,8,50.0,1,1,7,3,0,,0,0,0,0,,True,Mid,Average ,[13886],"[7719, 7387, 26467, 18581, 11313]",1,,False,,False,False,,"Most shots were only single balls.
Had trouble picking up balls."
20,3200,03-19-2022,CP,Azfl Q42,5,60.0,1,1,4,2,0,,0,0,0,0,,True,Low,Average ,[5282],"[31309, 30775]",1,,False,,False,False,"Intake reliable, shooter reliable",Shot almost exclusively for the upper hub
21,3200,03-21-2022,NG,Azfl q10,0,,0,0,0,0,0,,0,0,0,0,,False,Unknown ,Unknown,[],[],1,,False,,False,False,,
22,3374,03-19-2022,NG-CP,caph q62,3,100.0,1,1,2,2,0,,0,0,0,0,,True,Low,Average ,[5724],[],3,,True,"1 penalty for pinning
1 penalty for field damage
1 penalty for extending to climb before they were in the hangar area",False,False,,Chris - Didn't shoot much. Was defended very well.
23,3374,03-19-2022,NG,caph q66,17,58.8,2,2,15,8,0,,0,0,0,0,,True,Low,Fast,[11548],"[10113, 15629, 17482, 10116, 8875, 8469, 5052, 15548]",1,,False,,False,False,,Handled being defended well
