Team,max upper attempts,min upper attempts,mean upper attempts,max upper % made,min upper % made,mean upper % made,max lower attempts,min lower attempts,mean lower attempts,max lower % made,min lower % made,mean lower % made
1410,0,0,0.0,,,,1,0,0.5,100.0,100.0,100.0
1619,17,4,12.3,85.7,50.0,68.3,0,0,0.0,,,
2083,0,0,0.0,,,,2,2,2.0,50.0,50.0,50.0
2240,2,2,2.0,0.0,0.0,0.0,6,6,6.0,83.3,83.3,83.3
2486,8,8,8.0,62.5,62.5,62.5,1,1,1.0,0.0,0.0,0.0
2945,8,1,4.0,100.0,42.9,73.8,0,0,0.0,,,
3200,5,0,2.5,60.0,60.0,60.0,0,0,0.0,,,
3374,17,3,13.0,100.0,58.8,82.6,0,0,0.0,,,
4068,2,2,2.0,50.0,50.0,50.0,20,20,20.0,100.0,100.0,100.0
4293,0,0,0.0,,,,7,7,7.0,57.1,57.1,57.1
4418,0,0,0.0,,,,15,7,11.2,100.0,83.3,92.0
4550,0,0,0.0,,,,3,0,1.0,100.0,0.0,55.6
5690,16,0,9.0,81.8,10.0,63.2,1,0,0.1,100.0,100.0,100.0
